ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
62515004,Cash: The Autobiography,Johnny Cash,1997,Harpercollins
62516825,Stretching Lessons: The Daring that Starts from Within,Sue Bender,2001,HarperSanFrancisco
62732862,"How to Audition: For TV, Movies, Commercials, Plays, and Musicals (2nd Edition)",Gordon Hunt,1995,HarperResource
64403351,Magic Hat of Mortimer Wintergreen,Myron Levoy,1990,HarperCollins Publishers
64441091,No More Monsters for Me! (I Can Read Book 1),Peggy Parish,1987,HarperTrophy
64471721,X Files YA #02 Eve (X Files YA),Ellen Steiber,1997,HarperEntertainment
64671011,Western Civilization to 1500 (Harpercollins College Outline Series),Walther Kirchner,1991,Perennial
66212529,Horse People: Scenes from the Riding Life,Michael Korda,2003,HarperCollins
66620732,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,2002,HarperBusiness
70291403,Anthropology and the Human Experience,Edward Adamson Hoebel,1979,McGraw-Hill Companies
71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,2003,McGraw-Hill
72227877,Black Ice: The Invisible Threat of Cyber-Terrorism,Dan  Verton,2003,McGraw-Hill Osborne Media
72481765,Workbook/Lab Manual t/a Pasajes: Lengua,Mary Lee  Bretz,2002,McGraw-Hill Humanities/Social Sciences/Languages
91663407,Prince Charles: Horseman,Michael Clayton,1987,S. Paul
91793475,Piranha to Scurfy and Other Stories,Ruth Rendell,0,Random House Uk
91832136,The glade within the grove,David Foster,1996,Vintage
91842050,The Blue Day Book: A Lesson in Cheering Yourself Up,Bradley Trevor Greive,0,Random House Australia
130208876,Terrorism in the Twenty-First Century (2nd Edition),Cynthia Combs,1999,Prentice Hall
130957836,HTML 4.0 CD with JavaScript,Vivian Neou,1998,Prentice Hall PTR
132991241,Algebra and Trigonometry,Max A. Sobel,1995,Prentice Hall
133215474,"5,000 One and Two Liners for Any and Every Occasion",Leopold Fechtner,1978,Prentice Hall Art
133845389,Hawaii 50 A Day,Hammel,1987,Prentice Hall
013400549X,How Managers Make Things Happen,G. S. Odiorne,1982,Prentice Hall
139513108,User's Reference Manual/System Administrator's Reference Manual (Commands a-L for Intel Processors : Unix System V Release 4),UNIX System Laboratories,1992,Prentice Hall
140011528,Purple Plain,Bates,1977,Viking Press
140034919,I'm the King of the Castle,Susan Hill,1977,Penguin USA
140063927,Three Men on the Bummel,Jerome K. Jerome,1983,Penguin USA
140076107,Birth over thirty,Sheila Kitzinger,1985,Penguin Books
140098151,The Good Apprentice,Iris Murdoch,1987,Penguin Books
140110070,The Penguin Book of Contemporary New Zealand Short Stories,Susan Davis,1990,Penguin USA
140110852,The Belles Lettres Papers,Charles Simmons,1988,Penguin USA
140116168,"Dorothy Parker, What Fresh Hell Is This?",Marion Meade,1989,Penguin Books
140119205,Nice Work,David Lodge,1989,Penguin Putnam~trade
140137815,Opportunities: A Handbook of Business Opportunity Search,Edward De Bono,1992,Penguin USA
140251456,Small Ceremonies,Carol Shields,1996,Penguin Books
140265988,Falling Leaves Brit Edition,Adeline Yen Mah,0,Penguin Putnam~trade
140276319,The Penguin History Of The Twentieth Century (Allen Lane History S.),J. M. Roberts,2004,Penguin Books
140283404,Beloved (Penguin Great Books of the 20th Century),Toni Morrison,2000,Penguin Books
140350772,Puck of Pook's Hill (Puffin Classics),Rudyard Kipling,1987,Puffin Books
140367713,Rip Van Winkle and Other Stories (Puffin Classics - the Essential Collection),Washington Irving,1996,Puffin Books
140376283,Phoenix Rising,Karen Hesse,1995,Puffin Books
140384278,Tom's Private War,Leeson,1999,Penguin Uk
140444432,The Divine Comedy : Paradise,Dante Alighieri,1986,Penguin Books
014100522X,Head over Heels in the Dales (Dales Series),Gervase Phinn,2003,Penguin Books
141309199,Slam (Alloy Books),Cecily Von Ziegesar,2000,Puffin Books
141390875,Naval Battles of the First World War (Classic Military History),Geoffrey Bennett,2002,Penguin Books
014200135X,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,2002,Penguin Books
151006431,Elvis in the Morning,William F. Buckley Jr.,2001,Harcourt
151008108,The Ordinary White Boy,Brock Clarke,2001,Harcourt
151112495,The beast in me and other animals;: A collection of pieces and drawings about human beings and less alarming creatures (A Harvest book),James Thurber,1973,Harcourt Brace Jovanovich
155006614,Grammaire Francaise,Jacqueline Ollivier,1993,Heinle &amp; Heinle Publishers
156012979,Silence in October,Jens Christian Grondahl,2002,Harvest Books
156014092,The Secret Lives of Words,Paul West,2001,Harvest Books
156319357,The Flounder (Helen &amp; Kurt Wolff Book),Gunter Grass,1989,Harvest Books
156372118,The Groves of Academe,Mary McCarthy,1992,Harcourt
192717626,The Gauntlet (Oxford Children's Modern Classics),Ronald Welch,1999,Oxford University Press
192813498,Byron (Oxford Authors),Jerome McGann,1986,Oxford Univ Pr (Sd)
192838121,Waves,Virginia Woolf,1998,Oxford Univ Pr
195130065,Surfing Through Hyperspace: Understanding Higher Universes in Six Easy Lessons,Clifford A. Pickover,1999,Oxford University Press
195506065,The Oxford Book of Australian Love Poems,Jennifer Strauss,1998,OUP Australia and New Zealand
198613202,The Concise Oxford Dictionary of Current English: Thumb Indexed,H. W. Fowler,1995,Oxford University Press
201120658,Who got Einstein's office?: Eccentricity and genius at the Institute for Advanced Study,Edward Regis,1987,Addison-Wesley
205161766,Behavior in Organizations: Understanding &amp; Managing the Human Side of Work,Jerald Greenberg,1995,Prentice Hall
207172803,David Malouf: Selected Poems (A &amp; R Modern Poets),David Malouf,1992,Harpercollins
207187320,My Brother Jack,George Johnston,0,Harpercollins Publisher
224031457,Art and Lies Edition,Jeanette Winterson,0,Trafalgar Square
226278727,Teenage Wasteland : Suburbia's Dead End Kids,Donna Gaines,1998,Press
226763749,An Inquiry into the Nature and Causes of the Wealth of Nations/2 Volumes in 1,Adam Smith,1977,University of Chicago Press
246109815,Halliwell's Filmgoer's companion,Leslie Halliwell,1977,Granada Publishing
246137711,The garden of earthly delights,Nicholas Salaman,1993,HarperCollins ;
253216141,Iconography: A Writer's Meditation,Susan Neville,2003,Indiana University Press
283995068,Spencer Tracy: Tragic idol,Bill Davidson,1987,Sidgwick &amp; Jackson
304346942,Renaissance Cross Stitch Samplers,Angela Wainwright,1996,Sterling Pub Co Inc
306808722,Many Masks: A Life of Frank Lloyd Wright,Brendan Gill,1998,Da Capo Press
307001350,The Velveteen Rabbit (Little Golden Book),MARGERY WILLIAMS,1993,Golden Books
307101142,Busy Timmy (First Little Golden Book),Kathryn Jackson,1991,Golden Books
307102467,The little calf that couldn't moo (A First little golden book),Iris Hiskey,1992,Western Pub. Co
307128148,If You Were Kermit (Golden Look-Look Books),Bonnie Worth,1994,Golden Books
307129160,"Disney's Pocahontas: Hello, Funny Face (Golden Look-Look Books)",Margo Lundell,1995,Random House Childrens Books
307134652,I Can Go Potty,Bonnie Worth,1999,Golden Books
310200989,The Insider: A Novel,Jeff Nesbit,1996,Zondervan
310235316,Reaching for the Invisible God,Philip Yancey,2000,Zondervan Publishing Company
312009658,Counted-Thread Embroidery,Helen Fairfield,1987,St Martins Pr
312041454,Secret Sins,Joann Ross,1990,St Martins Pr
312048521,The Sufi Fiddle,Richard Bulliet,1991,St Martins Pr
312080743,Mortal Error: The Shot That Killed JFK,Bonar Menninger,1992,St Martins Pr
312105010,Mercy of a Rude Stream/Limited Edition,Henry Roth,1994,St Martins Pr
312109474,Brotherly Love (Stonewall Inn Mysteries),Randye Lordon,1994,St. Martin's Press
312110197,Late of This Parish,Marjorie Eccles,1994,St Martins Pr
312134371,Christina Rossetti: Selected Poems (Bloomsbury Classic Poetry Series),Prelude Pr,1995,St Martins Pr
312198221,Agatha Raisin and the Wizard of Evesham,M. C. Beaton,1999,St Martins Pr
312242611,The Usual Rules: A Novel,Joyce Maynard,2003,St. Martin's Press
312291450,If Chins Could Kill : Confessions of a B Movie Actor,Bruce Campbell,2002,L.A. Weekly Books
312302487,The Character of Rain: A Novel,Amelie Nothomb,2003,St. Martin's Press
031231826X,Facing the Light,Adele Geras,2004,Thomas Dunne Books
312320191,"SPQR VI: Nobody Loves a Centurion (Decius Metellus, 6)",John Maddox Roberts,2003,St. Martin's Griffin
312857470,Northern Stars: The Anthology of Canadian Science Fiction,David G. Hartwell,1994,St Martins Pr
312872364,"The Veil of a Thousand Tears (The Pearl Saga, Book 2)",Eric Van Lustbader,2002,Tor Fantasy
312922671,Growing Up,Russell Baker,1982,McGraw-Hill
312954255,No One Dies in Branson (Dead Letter Mystery),Kathryn Buckstaff,1995,St Martins Pr
312969376,Biggie and the Fricasseed Fat Man (Biggie Weatherford),Nancy Bell,1999,St. Martin's Minotaur
314045759,Corrections: A Comprehensive View,Ira Silverman,1996,Wadsworth Publishing
316087610,Writing and reading across the curriculum,Laurence Behrens,1985,"Little, Brown"
316104914,Chloe and Maude,Sandra Boynton,1985,Little Brown and Company
316236314,Dinosaurs! : A Drawing Book (Reading Rainbow),Michael Emberley,1985,"Little, Brown"
316289485,Take a Hike!: The Sierra Club Kid's Guide to Hiking and Backpacking,Lynne Foster,1991,Little Brown &amp; Co
316358487,The Red Sea Sharks (The Adventures of Tintin),Herge,1976,"Little, Brown"
316507415,How Good Do We Have to Be?: A New Understanding of Guilt and Forgiveness,Harold S. Kushner,1996,Little Brown &amp; Co
316511684,Little Man: Meyer Lansky and the Gangster Life,Robert Lacey,1991,Little Brown &amp; Co
316655880,Honeymoon: A Novel,Amy Jenkins,2001,Back Bay Books
316798118,"Daisy Says \Here We Go Round the Mulberry Bush\"" (Daisy)""",Jane Simmons,2002,"Little, Brown"
316858315,The Illustrated Virago Book of Women Travellers,Mary Morris,2003,Virago Press (UK)
316902918,Bob Vila's Guide to Buying Your Dream House (Bob Vila's Guide to Buying Your Dream House),Bob Vila,1990,"Little, Brown"
330400665,Monster Mission,Eva Ibbotson,2002,Pan Macmillan
034053964X,Road to Hell,Pawson,1999,Trafalgar Square
345253612,Dragon and the George,Gordon R Dickson,1976,Ballantine Books
345253787,Gateway,Frederik Pohl,1977,Ballantine Books
345286677,Beloved Enemy,Barbara Corcoran,1981,Ballantine Books
345287711,Giants Star,James Hogan,1981,Ballantine Books
345294076,This Life,Sidney Poitier,1981,Ballantine Books
345295706,Incomplete Education,Judy Jones,1987,Ballantine Books
345304268,Deryni Rising (Chronicles of the Deryni),Katherine Kurtz,1981,Ballantine Books
345314867,The Summer of Katya,Trevanian,1984,Ballantine Books
345325907,"The Early Asimov, Book 1 (Early Asimov)",Isaac Asimov,1986,Del Rey Books
345327128,Adventures of Sherlock Holmes,"Arthur Conan, Sir Doyle",1990,Ballantine Books
345335805,Garfield Tips the Scales (Garfield (Numbered Paperback)),Jim Davis,1989,Ballantine Books
345359666,Clan of the Warlord,Elizabeth H. Boyer,1992,Del Rey Books
345364201,B &amp; E,Dave Pedneau,1991,Fawcett Books
345370864,Night Siege: The Hudson Valley Ufo Sightings,J. Allen Hyneck,1991,Ballantine Books
345381769,Best Little Boy in the World,John Reid,1993,Ballantine Books
345384741,Macpherson's Lament: An Elizabeth Macpherson Mystery,Sharyn McCrumb,1993,Ballantine Books
345391683,"Jerusalem: One City, Three Faiths",Karen Armstrong,1997,Ballantine Books
345418905,"Life, the Universe and Everything",Douglas Adams,1997,Ballantine Books
345432487,Dave Barry Hits Below the Beltway: A Vicious and Unprovoked Attack on Our Most Cherished Political Institutions,Dave Barry,2002,Ballantine Books
034543658X,"Mary, Queen of Scots and the Murder of Lord Darnley",Alison Weir,2003,Ballantine Books
345437934,Inner City Blues: A Charlotte Justice Novel,Paula L. Woods,2000,Oneworld Publications
345441338,The Sugar Addict's Total Recovery Program,Kathleen Desmaisons,2002,Ballantine Books
345444841,The Photograph,VIRGINIA ELLIS,2003,Ballantine Books
345458850,Into the Night,SUZANNE BROCKMANN,2002,Ballantine Books
356025020,The wonderful world of Barry McKenzie; (A Gnome book),Barry Humphries,1968,Macdonald &amp; Co
373025017,Man of Teak (Harlequin Romance Series),Sue Peters,1982,Harlequin Books
373030665,"Master Of Cashel (Harlequin Romance, No 3066)",Sara Wood,1990,Harlequin
373033583,"Roses In The Night (Harlequin Romance, No 3358)",Kay Gregory,1995,Harlequin
373033702,"Make - Believe Marriage (Harlequin Romance, No 3370)",Renee Roszel,1995,Harlequin
373034547,"Fate Takes A Hand (Harlequin Romances, No 3454)",Betty Neels,1997,Harlequin
373035926,"One Husband Needed (Hope Valley Brides) (Hope Valley Brides, 3592)",Jeanne Allan,2000,Harlequin
373037074,"Strategy For Marriage  (Contract Brides) (Romance, 3707)",Margaret Way,2002,Harlequin
037305257X,"Shadow Between (Silhouette Desire, No 257)",Diana Stuart,1985,Silhouette
373055323,"Blue Chip Bride (Desire, No 32)",Audra Adams,1989,Silhouette
373059086,"Dad Like Daniel (From Here To Maternity) (Silhouette Desire, No 908)",Elizabeth Bevarly,1995,Silhouette
373075162,"Bride On The Run (Silhouette Intimate Moments, No 516)",Richard Harris,1993,Silhouette
037308417X,"Courtship Of Dani (Silhouette Romances, No 417)",Ginna Gray,1986,Silhouette
373089740,"Wife Worth Waiting For (This Side Of Heaven) (This Side of Heaven, Vol 3)",Arlene James,1993,Silhouette
373092555,Tears In The Rain (Silhouette Special Edition),Pamela Wallace,1985,Silhouette
037309941X,"Jenni Finds A Father (Silhouette Special Edition, No 941)",Brittany Young,1995,Silhouette
373104286,Seduction,Charlotte Lamb,1981,Harlequin
373104561,Summer Fire,Sally Wentworth,1981,Harlequin
373117086,"Tower Of Shadows (Postcards From Europe) (Harlequin Presents, No 1708)",Sara Craven,1994,Harlequin
373118902,Finn'S Twins! (From Here To Paternity) (From Here to Paternity),Ann McAllister,1997,Harlequin
373161255,Changing Places (Harlequin American Romance),Beverly Sommers,1985,Harlequin
373163886,"Father Of The Bride (Harlequin American Romance, No. 388)",Cathy Gillen Thacker,1991,Harlequin
373164955,"Hart'S Obsession (Harlequin American Romance, No 16495)",Jim Wilson,1993,Harlequin
373166842,"Stealing Samantha (Special Cover Treatment) (Harlequin American Romance, No 684)",Charlotte Maclay,1997,Harlequin
373226357,"Midnight Burning (Harlequin Intrigue, No. 635)",Caroline Burnes,2001,Harlequin
373227590,"Silent Storm (Harlequin Intrigue, No. 759)",Amanda Stevens,2004,Harlequin
373230133,When Duty Calls: 2 Novels in 1,Joanna Wayne,2003,Harlequin
373245947,"Love On Call (Silhouette Special Edition, 1594)",Shirley Hailstock,2004,Silhouette
373250673,The Sex Was Great But... (Red Dress Ink),Tyne O'Connell,2004,Red Dress Ink
373251807,Answering Tide (Harlequin Temptation),Regan Forest,1985,Harlequin
373253095,"Wilde 'N' Wonderful (Temptation, No 209)",Joann Ross,1988,Harlequin
373254547,"Naughty Thoughts (Harlequin Temptation, No 354)",Dawn Carroll,1991,Harlequin
373256329,"In Praise Of Younger Men (Harlequin Temptation, No 532)",Lyn Ellis,1995,Harlequin
037325881X,"Drop - Dead Gorgeous (Sweet Talkin' Guys) (Temptation, 781)",Lyn Ellis,2000,Harlequin
373270356,"Volan Curse (Silhouette Shadows, No 27035)",Jane Toombs,1994,Silhouette
373271506,"Warrior'S Bride (Silhouette Intimate Moments, No 1080)",Nina Bruhns,2001,Silhouette
373272022,"Once A Father (Lone Star Country Club) (Silhouette Intimate Moments, No. 1132)",Marie Ferrarella,2002,Silhouette
373273010,Always a McBride  (Those Marrying McBrides!),Linda Turner,2003,Silhouette
373273797,In the Dark (Intimate Moments),Heather Graham,2004,Silhouette
373293186,The Mercenary's Kiss (Historical),Pam Crooks,2004,Harlequin
373301677,Moonbeams Aplenty (Western Lovers - Denim &amp; Diamonds),Mary Lynn Baxter,1987,Silhouette
373581424,In Safekeeping,Naomi Horton,1991,Harlequin Mills &amp; Boon Ltd
373614462,Precision Kill  (Superbolan #46) (Don Pendleton),MacK Bolan,1996,Gold Eagle
373638183,"Parallax Red  (Outlanders #5) (Outlanders , No 5)",James Axler,1998,Gold Eagle
373701233,Love Me Tomorrow,Rosalind Carson,1984,Harlequin
373708009,"Having It All (Family Man) (Superromance , No 800)",Roz Denny Fox,1998,Harlequin
373710461,"WIDE OPEN SPACES - HOME ON THE RANCH (Harlequin Superromance, No. 1046)",Roz Denny Fox,2002,Harlequin
373761031,"Kidnapped Bride (Harlequin Desire, No 1103)",Metsy Hingle,1997,Silhouette
373761791,"Thirty - Day Fiance (The Rulebreakers) (Silhouette Desire, 1179)",Ronnie Banks,1998,Silhouette
373763336,"Irresistible You (Man Of The Month) (Silhoutte Desire, No 1333)",Barbara Boswell,2000,Silhouette
373763840,"Baby of Fortune (Silhouette Desire, No. 1384)",Shirley Rogers,2001,Silhouette
373821921,Dream Chasers,Anne McAllister,1999,Harlequin Books
375420851,Lili : A Novel of Tiananmen,ANNIE WANG,2001,Pantheon
375502823,Another Song About the King,Kathryn Stern,2000,Random House Trade
375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
380004070,Aftermath,Ladislas Farago,1975,Avon
380011220,Creatures of Light and Darkness,Roger Zelazny,1970,Harper Mass Market Paperbacks (Mm)
380414759,Tears of Gold,Laurie McBain,1983,Harper Mass Market Paperbacks (Mm)
380595192,Fire on the Mountain,Edward Abbey,1982,Harper Mass Market Paperbacks (Mm)
380603683,Statues in a Garden,Isabel Colegate,1982,Avon
380633396,"The Stairway to Heaven (Earth Chronicles, No. 2)",Zecharia Sitchin,1999,Avon
038070305X,Search for Grissi,Mary Shura,1990,Harpercollins Juvenile Books
380711478,Bones,Joyce Thompson,1992,Harper Mass Market Paperbacks
380711931,Sniper,Theodore Taylor,1991,HarperTrophy
380718154,Getting to 'I Do',Pat Allen,1995,Perennial Currents
380721406,The Big Wander,Will Hobbs,1994,HarperTrophy
380724928,Devil's Gonna Get Him (Tamara Hayle Mystery),Valerie W. Wesley,1996,Avon
380730464,The Iron Dragon's Daughter,Michael Swanwick,1997,Eos (HarperCollins)
380763400,Only You,Elizabeth Lowell,1992,Avon
380771314,Crimson Kisses,Asa Drake,1981,Harper Mass Market Paperbacks (Mm)
380772906,Lord of Thunder (An Avon Romantic Treasure),Emma Merritt,1994,Harper Mass Market Paperbacks (Mm)
380784319,Protektor,Charles Platt,1996,Harpercollins
380797763,"Eerie Triangle (Eerie, Indiana, No 3)",Mike Ford,1997,HarperTrophy
380822067,Michael McDowell's Blackwater II: The Levee (His Blackwater),Michael McDowell,1983,Avon Books
380978091,The House of Gentle Men,Kathy Hepinstall,2000,William Morrow
381980480,Patriot,Pearl S. Buck,1939,Harpercollins
038502732X,Astounding Analog Reader,Harry Harrison,1973,Doubleday
385152809,Billy Martin,Gene Schoor,1980,Doubleday
385171773,Shared Intimacies : Women's Sexual Experience,Lonnie Barbach,1980,Bantam Dell Pub Group
385236417,Essential Whole Earth Catalog,Point Foundation,1986,Bantam Dell Pub Group
385267932,Open Heart,Abraham B. Yehoshua,1996,Bantam Dell Pub Group
038530613X,Hardware,Linda Barnes,1995,Bantam Dell Pub Group
385316151,Planet of the Blind,Stephen Kuusisto,1998,Bantam Dell Pub Group
038531826X,The Border Hostage,Virginia Henley,2001,Delacorte Press
385323212,Wallace and Gromit in Nick Park's a Close Shave,Graham Marks,1996,Doubleday Books
385335040,Turn of the Century,Kurt Andersen,2000,Delta
038541627X,"Isaac Asimov: The Complete Stories, Vol. 1",Isaac Asimov,1990,Doubleday Books
385495692,The Big Thaw,Donald Harstad,2000,Doubleday
385503016,The True Sources of the Nile : A Novel,SARAH STONE,2002,Doubleday
387950788,The Math of Money,Morton D. Davis,2001,Copernicus Books
393034879,The Norton/Grove Dictionary of Women Composers,Julie Anne Sadie,1995,W. W. Norton &amp; Company
393050041,The Race to the White Continent: Voyages to the Antarctic,Alan Gurney,2000,W.W. Norton &amp; Company
393313093,Stone Virgin,Barry Unsworth,1995,W. W. Norton &amp; Company
393315401,The End of a Primitive (Old School Books),Chester Himes,1997,W. W. Norton &amp; Company
393954781,The Norton Anthology of English Literature (Norton Anthology of English Literature (Hardcover)),M.H. Abrams,1986,W.W. Norton &amp; Company Ltd
394554264,North Dallas After Forty,Peter Gent,1989,Random House Inc
394555392,"Living a Beautiful Life: Five Hundred Ways to Add Elegance, Order, Beauty and Joy to Every Day of Your Life",Alexandra Stoddard,1986,Random House
394844874,Sea Creatures Do Amazing Things (Step-Up Books),Arthur Myers,1981,Random House Children's Books
039486056X,"Lovable Furry Old Grover's Resting Places: Featuring Grover, a Jim Henson Sesame Streeet Muppet (Random House Picturebacks)",Jon Stone,1984,Random House Children's Books
395247586,Road Goes Ever on,J. R. R. Tolkien,1978,Houghton Mifflin
395389232,The Road to Damietta,Scott O'Dell,1985,Houghton Mifflin Co
395478049,Offshore,Penelope Fitzgerald,1998,Mariner Books
395528054,A Visit to the Big House,Oliver Butterworth,1993,Houghton Mifflin Company
395657466,Everybody's Daughter (Sandpiper Houghton Mifflin Books),Marsha Qualey,1993,Houghton Mifflin Co (Jp)
395664004,"Toby Scudder, King of the School",David Gifaldi,1993,Clarion Books
395686660,Knowledge of Angels,Jill Paton Walsh,1994,Houghton Mifflin Company
396072933,Race Against Death: A True Story of the Far North,Seymour Reit,1976,Dodd Mead
399141073,Where I Stopped: Remembering Rape at Thirteen,Martha Ramsey,1996,Putnam Pub Group
399145974,"Strong Women, Strong Bones : Everything You Need to Know to Prevent, Treat, and Beat Osteoporosis",Miriam Nelson,2000,Putnam Publishing Group
399512330,Break the Dealer: Winning Strategies for Today's Blackjack,Jerry Patterson,1986,Berkley Pub Group
399524150,4 Months to A 4 Hour Marathon,Dave Kuehls,1998,Perigee Books
399528822,How to Survive Your Husband's Midlife Crisis: Strategies and Stories from the Midlife Wives Club,Gay Courter,2003,Perigee Books
415922801,"Lies We Live By : Defeating Doubletalk and Deception in Advertising, Politics, and the Media",Carl Hausman,1999,Routledge
425051552,Laughter/Best Medicin,Readers Digest,1981,Berkley Publishing Group
425082075,Shadowland,Peter Straub,1985,Berkley Publishing Group
425109216,David Letterman Story,Caroline Latham,1988,Berkley Publishing Group
425144062,Witches' Bane,Susan Wittig Albert,1994,Berkley Publishing Group
425151948,"Remember Me (Dear Diary, No 2)",Cheryl Lanham,1996,Berkley Publishing Group
425156931,Silencing the Voices: One Woman's Triumph over Multiple Personality Disorder,Jean Darby Cline,1997,Berkley Publishing Group
425157644,Silverthorne,Wayne Davis,1997,Berkley Publishing Group
425159418,Rueful Death: A China Bayles Mystery,Susan Wittig Albert,1997,Berkley Publishing Group
425182681,The Keys of Hell,Jack Higgins,2001,Berkley Publishing Group
425186431,Tart Noir,Stella Duffy,2002,Berkley Publishing Group
435221205,Hobson's Choice (Hereford Plays),Harold Brighouse,1992,Heinemann Educational Books - Secondary Division
439011574,Hippo Murderous Maths: The Essential Arithmetricks,Kjartan Poskitt,1999,Scholastic Paperbacks (Mm)
439282500,Take a Look and See . . . Every Inch of Me (Healthy Beginnings),Scholastic Inc and Wyeth Lederle Vaccines,2000,Scholastic Inc
439434548,Kids Are Authors: Band of Coyotes,Scholastic,2002,Scholastic
439542502,Scholastic Book of World Records 2004 (Scholastic Book of World Records),Jenifer Corr Morse,2003,Scholastic Reference
440065569,Neighbors: A novel,Thomas Berger,1980,Delacorte Press/Seymour Lawrence
440108268,The Bridge Across Forever,Richard Bach,1986,Dell
440156092,Lucy,Marion Chesney,1987,Dell Publishing Company
440201519,Wildlife,Todd Strasser,1988,Laurel-Leaf Books
044020562X,One,Richard Bach,1989,Dell
440222362,Hard Evidence: How Detectives Inside the Fbi's Sci-Crime Lab Have Helped Solve America's Toughest Cases,David Fisher,1996,Dell
440223512,"Personal Agendas (Babylon 5, Book 8)",Al Sarrantonio,1997,Dell
440227410,Hawk Moon (Laurel-Leaf Books),Rob MacGregor,1998,Laurel-Leaf Books
