User-ID,Location,Age
334, finland,27
335, italy,27
336, spain,27
337, spain,17
338, usa,
339, finland,20
340, philippines,15
341, france,50
342, nigeria,28
343, usa,
344, united kingdom,25
345, usa,27
346, canada,29
347, canada,34
348, usa,
349, denmark,
350, italy,
351, turkey,
352, usa,28
353, spain,41
354, brazil,
355, london,
356, usa,
357, united kingdom,29
358, usa,
359, usa,
360, spain,33
361, spain,25
362, canada,63
363, germany,
364, portugal,
365, italy,
366, bulgaria,
367, usa,45
368, usa,35
369, usa,
370, usa,
371, mexico,
372, germany,22
373, austria,
374, germany,45
375, germany,28
376, usa,35
377, malaysia,
378, usa,57
379, canada,47
380, usa,
381, usa,
382, usa,
383, usa,
384, romania,23
385, france,
386, iran,20
387, usa,17
388, usa,35
389, spain,22
390, usa,48
391, usa,
392, spain,44
393, united kingdom,24
394, united kingdom,25
395, spain,24
396, sweden,
397, portugal,50
398, new zealand,
399, nigeria,41
400, usa,
401, argentina,28
402, united kingdom,19
403, usa,
404, usa,37
405, germany,
406, spain,37
407, pakistan,
408, usa,17
409, portugal,50
410, united kingdom,40
411, usa,27
412, usa,
413, usa,17
414, usa,34
415, usa,
416, usa,31
417, usa,
418, usa,
419, usa,14
420, australia,14
421, usa,47
422, canada,23
423, united kingdom,
424, usa,29
425, canada,32
426, usa,
427, australia,
428, usa,
429, usa,25
430, usa,
431, usa,40
432, usa,
433, usa,48
434, usa,
435, usa,
436, victoria,
437, canada,
438, italy,34
439, usa,
440, usa,16
441, usa,
442, united kingdom,24
443, usa,47
444, usa,40
445, usa,
446, usa,
447, usa,
448, usa,22
449, usa,
450, italy,31
451, usa,33
452, usa,
453, usa,
454, united kingdom,50
455, canada,54
456, usa,31
457, united kingdom,62
458, usa,17
459, usa,37
460, italy,
461, singapore,15
462, usa,18
463, australia,20
464, india,24
465, usa,
466, usa,
467, usa,
468, usa,
469, usa,18
470, usa,0
471, australia,31
472, usa,
473, philippines,25
474, usa,
475, canada,34
476, usa,
477, usa,45
478, usa,13
479, usa,
480, usa,62
481, usa,
482, usa,46
483, usa,72
484, usa,17
485, usa,51
486, usa,31
487, usa,
488, usa,25
489, usa,
490, usa,
491, canada,26
492, usa,60
493, usa,29
494, canada,
495, usa,
496, usa,51
497, usa,51
498, usa,29
499, usa,62
500, usa,17
501, usa,
502, usa,47
503, usa,40
504, usa,29
505, usa,51
506, canada,
507, usa,
508, usa,29
509, usa,
510, usa,
511, usa,
512, usa,58
513, usa,
514, usa,30
515, usa,24
516, usa,
517, usa,22
518, australia,
519, united kingdom,23
520, usa,
521, usa,
522, canada,
523, usa,19
524, australia,37
525, france,29
526, germany,35
527, germany,22
528, singapore,16
529, usa,28
530, usa,47
531, usa,56
532, argentina,53
533, united kingdom,31
534, usa,59
535, italy,
536, vietnam,20
537,,
539, usa,
540, usa,67
541, usa,45
542, usa,
543, vietnam,27
544, united kingdom,
545, usa,
546, italy,51
547, usa,
548, usa,
549, usa,
550, pakistan,
551, india,19
552, usa,
553, denmark,16
554, portugal,
555, italy,36
556, usa,31
557, usa,49
558,,
560, usa,
561, usa,35
562, albania,0
563, usa,
564, usa,15
565, usa,48
566, usa,
567, usa,
568, egypt,
569, pakistan,28
570, usa,
571, netherlands,23
572, tunisia,23
573, egypt,31
574, spain,33
575, portugal,23
576, switzerland,35
577, iran,
578, canada,
579, india,29
580, spain,22
581, spain,45
582, australia,56
583, uzbekistan,19
584, qatar,23
585, italy,
586, malaysia,26
587, italy,
588, usa,60
589, italy,
590, germany,
591, usa,42
592, usa,
593, canada,28
594, united kingdom,
595, usa,17
596, usa,49
597, usa,43
598, syria,34
599, usa,36
600, iran,20
601, canada,
602, usa,23
603, germany,
604, usa,42
605, usa,
606, usa,
607, china,31
608, usa,30
609, spain,34
610, spain,19
611, italy,24
612, usa,20
613, turkey,1
614, italy,28
615, portugal,29
616, usa,34
617, portugal,54
618, usa,
619, usa,
620, canada,45
621, spain,48
622, brazil,23
623, argentina,
624, netherlands,
625, france,41
626, austria,41
627, usa,
628, germany,
629, germany,44
630, france,33
631, usa,
632, usa,15
633, germany,
634, germany,50
635, canada,24
636, usa,
637, singapore,20
638, usa,20
639, usa,
640, canada,
641, usa,
642, usa,37
643, france,23
644, usa,
645, canada,
646, united kingdom,21
647, australia,35
648, canada,
649, usa,
650, usa,
651, usa,26
652, usa,
653, united kingdom,
654, canada,30
655, usa,58
656, new zealand,
657, usa,
658, usa,61
659, canada,
660, usa,
661, germany,22
662, canada,21
663, spain,49
664, spain,26
665, sweden,
666, india,
667, india,
668, india,27
669, india,24
670, india,
671, saudi arabia,1
672, india,
673, india,23
674, india,
675, india,
676, italy,31
677, usa,27
678, australia,
679, usa,65
680, usa,28
681, indonesia,20
682, usa,44
683, usa,28
684, usa,44
685, usa,21
686, pakistan,
687, romania,35
688, australia,14
689, france,22
690, usa,80
691, united kingdom,25
692, usa,44
693, usa,58
694, usa,
695, netherlands,
696, canada,13
697, canada,
698, usa,
699, united kingdom,
700, malaysia,16
701, usa,31
702, usa,53
703, usa,52
704, usa,
705, italy,
706, usa,
707, usa,
708, usa,
709, usa,14
710, brazil,42
711, united kingdom,27
712, switzerland,29
713, united kingdom,49
714, usa,
715, usa,
716, mexico,34
717, usa,
718, usa,30
719, canada,52
720, usa,16
721, usa,
722, usa,66
723, usa,
724, usa,
725, portugal,24
726, usa,31
727, portugal,40
728, usa,
729, canada,
730,,69
731, usa,
732, india,
733, new zealand,53
734, germany,
735, usa,29
736, germany,34
737, usa,
738, usa,
739, usa,55
740, usa,
741, usa,16
742, usa,
743, usa,
744, usa,48
745, germany,25
746, usa,36
747, usa,
748, spain,14
749, usa,
750, switzerland,36
751, spain,41
752, usa,
753, usa,
754, germany,33
755, china,24
756, usa,
757, usa,29
758, germany,
759, usa,
760, usa,
761, china,30
762, portugal,23
763, usa,
764, usa,28
765, usa,
766, usa,52
767,,43
768, greece,
769, usa,
770, iran,
771, usa,38
772, portugal,27
773, sudan,52
774, usa,16
775, saudi arabia,28
776, new zealand,23
777,,13
778, usa,
779, canada,
780, usa,
781, united kingdom,20
782, usa,57
783, usa,
784, usa,39
785, usa,
786, usa,48
787, usa,
788, usa,
789,,15
790, canada,
791, usa,
792, usa,44
793, usa,
794, usa,47
795, usa,
796, usa,
797, usa,
798, usa,
799, usa,
800, usa,
801, usa,51
802, argentina,33
803, spain,41
804, usa,38
805, usa,34
806, usa,
807, germany,32
808, canada,
809, usa,36
810, usa,
811, switzerland,34
812, canada,17
813, usa,42
814, usa,
815, british columbia,
816, italy,32
817, usa,41
818, malaysia,
819, usa,
820, usa,38
821, italy,33
822, united kingdom,25
823, usa,36
824, usa,15
825, usa,38
826, usa,65
827, usa,
828, usa,35
829, usa,23
830, usa,57
831, spain,21
832, united kingdom,
833, argentina,
834, usa,17
835, italy,35
836, usa,
837, usa,26
838, usa,71
839, nigeria,40
840, spain,21
841, missouri,
842, germany,42
843, usa,25
844, usa,
845, italy,25
846, usa,55
847, spain,23
848, sweden,
849, usa,
850, germany,22
851, malaysia,
852, spain,27
853, usa,24
854,,22
855, germany,54
856, spain,29
857, malaysia,25
858, usa,46
859, usa,
860, united kingdom,26
861, usa,
862, usa,56
863, somewherein space,73
864, canada,
865, usa,
866, spain,23
867, spain,27
868, spain,27
869, romania,30
870, italy,19
871, usa,19
872, united kingdom,22
873, united kingdom,
874, usa,
875, usa,32
876, usa,33
877, italy,
878, usa,
879, usa,
880, usa,
881, canada,24
882, usa,23
883, usa,43
884,,
886, usa,
887, usa,30
888, usa,
889, united kingdom,46
890, usa,
891, germany,
892, usa,
893, italy,19
894, australia,22
895, australia,40
896, united kingdom,27
897, australia,14
898, poland,
899, germany,23
900, usa,25
901, united kingdom,21
902, usa,18
903, usa,19
904, usa,
905, usa,
906, united kingdom,
907, usa,31
908, australia,
909, france,19
910, usa,25
911, usa,40
912, usa,33
913, united kingdom,44
914, germany,51
915, usa,50
916, australia,38
917, usa,
918, canada,52
919, spain,65
920, usa,28
921, germany,
922, canada,20
923, usa,21
924, france,29
925, italy,
926, portugal,29
927, thailand,16
928, australia,60
929,,36
930, usa,30
931, usa,43
932, usa,1
933, united kingdom,29
934, usa,
935, philippines,21
936, usa,24
937, france,31
938, canada,55
939, philippines,21
940, usa,
941, usa,
942, france,29
943, spain,24
944, canada,26
945, italy,23
946, united kingdom,23
947, usa,
948, usa,
949, canada,
950, philippines,
951, usa,
952, usa,
953, italy,22
954, usa,
955,,
957,metropolitana,
958, usa,78
959, spain,
960, indonesia,
961, italy,
962, spain,
963, canada,
964, usa,
965, usa,24
966, ireland,22
967, brazil,31
968, spain,25
969, usa,13
970, australia,15
971, ghana,22
972, saudi arabia,
973, usa,
974,,36
975, usa,34
976, australia,28
977, usa,
978, usa,33
979, united kingdom,36
980, spain,23
981, usa,
982, usa,41
983, vietnam,
984, usa,
985, spain,23
986, usa,
987, usa,
988, usa,
989, usa,33
990, usa,
991, usa,62
992, australia,33
993, germany,
994, usa,
995, new zealand,34
996, usa,
997, usa,
998, france,
999, usa,21
1000, italy,34
